id,username,password,name,regtime,borntime,phone,email,address
18,xa_thanh_mai,mai,Xa Thanh Mai,31/03/1989 05:52:15,06/07/1987 18:00:29,(84-511) 3 847 888/(84-511) 3 847 543,XaThanhMai@gmail.com,"27 Luong Dinh Cua streetward 6Ca Mau city-( 27 Lương Định Của, Phường 6, Ho Chi Minh City, Ho Chi Minh City"
19,thai_thao_nguyen,nguyen,Thai Thao Nguyen,07/02/1995 09:49:20,02/01/1987 03:20:51,(84-8) 9570958,ThaiThaoNguyen@gmail.com,"38-40 Nguyen Cong Hoan St., Go Vap District, Ho Chi Minh City"
20,da_thien_my,my,Da Thien My,10/01/2001 00:07:22,05/12/1988 04:00:56,(84-8) 38 222 996/(84-8) 38 291 510/(84-8) 38 222 991,DaThienMy@gmail.com,"186 Ten Lua St., Binh Tri Dong B Ward, Binh Tan Dist., Ho Chi Minh City"
21,tieu_thien_nuong,nuong,Tieu Thien Nuong,14/03/2007 15:43:19,01/01/2004 01:07:48,(84-4) 38 291 681,TieuThienNuong@gmail.com,"103 Le Van Nhung Street, My Binh Ward, An Giang"
22,hoang_trieu_man,man,Hoang Trieu Man,11/05/2010 01:30:14,14/10/1980 19:09:13,(08) 38482884/62912769,HoangTrieuMan@gmail.com,"126 Nguyen Hue, Ward Phu Nhuan., Ba Ria - Vung Tau, Ba Ria-Vung Tau"
23,cong_truc_mai,mai,Cong Truc Mai,11/01/1995 11:00:19,19/09/1981 11:34:08,(84-8) 4331847,CongTrucMai@gmail.com,"30 Lo A, Trung tam Thuong mai Tan Thanh, Phu My, Ho Chi Minh City, Ho Chi Minh City"
24,khuc_tu_anh,anh,Khuc Tu Anh,23/05/1992 04:35:42,02/08/1990 03:51:19,(84-650) 3 782 752/(84-650) 3 782 788,KhucTuAnh@gmail.com,"27-29 Hai Ba Trung Street, Ben Nghe Ward, District 1, Tay Ho District ., Hanoi"
25,thuc_tue_lam,lam,Thuc Tue Lam,22/11/1986 16:21:20,21/12/1984 06:57:50,(84-8) 8328495/9142786,ThucTueLam@gmail.com,"33/52 To Ngoc Van Street, Ho Chi Minh City, Ho Chi Minh City"
26,quan_tuy_linh,linh,Quan Tuy Linh,07/07/1993 05:29:28,08/08/1986 12:40:36,08. 37 738 644,QuanTuyLinh@gmail.com,"1 Tran Khanh Du, Tan Dinh Ward, Dist.1, Ho Chi Minh City, Ho Chi Minh City"
27,can_tuyet_tam,tam,Can Tuyet Tam,19/11/1985 20:14:06,05/11/1982 11:06:02,(84-511) 820475,CanTuyetTam@gmail.com,"347A Tran Xuan Soan St., Tan Kieng Ward, Dist. 7, Ho Chi Minh City, Ho Chi Minh City"
28,trac_uyen_tho,tho,Trac Uyen Tho,08/11/2006 22:48:21,02/02/1992 14:17:54,(84-4) 38354458,TracUyenTho@gmail.com,"-Singapore Industrial Park 16 Street 8, Thuan An District, Ho Chi Minh City, Ho Chi Minh City"
29,tinh_xuan_nuong,nuong,Tinh Xuan Nuong,31/03/2007 23:23:00,02/11/2000 08:11:32,(84-71) 383 3730/(84-71) 383 4209/(84-71) 373 1218,TinhXuanNuong@gmail.com,"2/29 Cao Thang St Ward 5, Dist. 3, Tan Phu Dist., Ho Chi Minh City"
30,bien_yen_mai,mai,Bien Yen Mai,12/04/1994 21:28:50,15/05/1982 07:03:06,(84-71) 3 841 560/(84-71) 3 841 236,BienYenMai@gmail.com,"705 Huynh Tan Phat, Ward Phu Thuan, District 7, Dong Da District, Hanoi"
